credit_score,gender,age,tenure,balance,credit_card,active_member,estimated_salary,country_Germany,country_Spain,products_2,products_3,products_4,is_zero_balance,balance_to_salary_ratio,age_group_31-45,age_group_46-60,age_group_60+,tenure_by_age,products_active_interaction,churn
-0.3262214220367463,1,0.2935174228967471,-1.0417596792253108,-1.2258476714090278,1,1,0.021886493995386117,0,0,0,0,0,1,-0.03580390433705983,1,0,0,-1.0091181037428891,0.2401951387693571,1
-0.4400359548576657,1,0.1981638321954454,-1.3875375865624426,0.11735002143511059,0,1,0.21653375188734025,0,1,0,0,0,0,-0.0289298691015174,1,0,0,-1.2686542663142126,0.2401951387693571,0
-1.536794180222889,1,0.2935174228967471,1.03290776479748,1.3330533457228904,1,0,0.24068690006348814,0,0,0,1,0,0,-0.022867961475416382,1,0,0,0.5870292960707499,-0.9090638984046006,1
0.5015206348426676,1,0.0074566507928420294,-1.3875375865624426,-1.2258476714090278,0,0,-0.10891791702847127,0,0,1,0,0,1,-0.03580390433705983,1,0,0,-1.2546792421757567,-0.9090638984046006,0
2.063883767202561,1,0.38887101359804876,-1.0417596792253108,0.7857278997960591,1,1,-0.36527578251440274,0,1,0,0,0,0,-0.021153963863445813,1,0,0,-1.021491339400359,0.2401951387693571,0
-0.05720525355093678,0,0.48422460429935044,1.03290776479748,0.5973285944410414,1,0,0.8636502870218095,0,1,1,0,0,0,-0.028792079606272284,1,0,0,0.4902930900214386,-0.9090638984046006,1
1.7741740472947665,0,1.0563461485071606,0.6871298574603482,-1.2258476714090278,1,1,-1.5654872211931183,0,0,1,0,0,1,-0.03580390433705983,0,1,0,0.023057214803264375,1.389454175943315,0
-2.840487919807966,1,-0.9460792562201749,-0.35020386455104724,0.6180189508533646,1,0,0.33485372981012046,1,0,0,0,1,0,-0.026905602843132443,0,0,0,-5.940271127815445e-05,-0.9090638984046006,1
-1.5471409559338818,0,0.48422460429935044,-0.35020386455104724,1.0508202865849028,0,1,-0.4373288460949081,0,0,1,0,0,0,-0.01830657393395696,1,0,0,-0.5254370734963317,1.389454175943315,0
0.3463189991777775,0,-1.1367864376227783,-1.0417596792253108,0.9314633619936777,1,1,-0.49323048409247083,0,0,0,0,0,0,-0.018480770074845932,0,0,0,-0.7135352519255486,0.2401951387693571,0
-1.2677780117370796,0,-0.7553720748175714,0.3413519501232164,0.409185402285092,0,0,-0.34619970089236274,0,0,1,0,0,0,-0.02405917243668902,1,0,0,0.6213550466043766,-0.9090638984046006,0
-1.5885280587778525,0,-1.4228472097266833,-0.695981771888179,-1.2258476714090278,1,0,-0.412123315592307,0,1,1,0,0,1,-0.03580390433705983,0,0,0,-0.14453826217716786,-0.9090638984046006,0
-1.8058103487086987,1,-0.4693113027136664,1.7244635794717436,-1.2258476714090278,1,0,-1.283817056739873,0,0,1,0,0,1,-0.03580390433705983,1,0,0,1.7450185861316256,-0.9090638984046006,0
-1.0504957218062334,1,-1.3274936190253817,-0.004425957213915414,-1.2258476714090278,0,0,1.5783569986897874,0,0,1,0,0,1,-0.03580390433705983,0,0,0,0.6934391227249928,-0.9090638984046006,0
-0.1606730106608635,1,-0.3739577120123647,0.6871298574603482,-1.2258476714090278,1,1,-0.5936359656444845,0,1,1,0,0,1,-0.03580390433705983,1,0,0,0.6934391227249928,1.389454175943315,0
-0.3572617491697243,0,0.5795781950006521,-0.695981771888179,1.0681029591182611,0,1,-0.6218824846013182,1,0,1,0,0,0,-0.015264979879004329,1,0,0,-0.7962984504344038,1.389454175943315,0
0.025568952137004615,0,1.8191748741175742,-1.3875375865624426,0.8993931172292712,1,0,-1.651825870574206,1,0,0,0,0,0,0.2043143119172775,0,1,0,-1.348528757726249,-0.9090638984046006,1
-1.0504957218062334,1,-1.4228472097266833,1.378685672134612,-1.2258476714090278,1,1,-1.4899561835690913,0,1,1,0,0,1,-0.03580390433705983,0,0,0,2.6487196874967003,1.389454175943315,0
-0.6573182447885119,0,0.5795781950006521,0.3413519501232164,-1.2258476714090278,0,0,1.0189010247747559,0,1,0,0,0,1,-0.03580390433705983,1,0,0,-0.05142966385470562,-0.9090638984046006,0
0.7808835790394698,1,-1.4228472097266833,0.3413519501232164,-1.2258476714090278,1,1,-0.7888730584424746,0,0,1,0,0,1,-0.03580390433705983,0,0,0,1.2520907126597662,1.389454175943315,0
0.8429642333054258,0,0.1981638321954454,1.03290776479748,-1.2258476714090278,1,1,1.2310704831801604,0,0,1,0,0,1,-0.03580390433705983,1,0,0,0.6389365285850148,1.389454175943315,0
-0.15032623494987085,1,-0.6600184841162697,1.03290776479748,-1.2258476714090278,1,0,0.6688717421740601,0,1,1,0,0,1,-0.03580390433705983,1,0,0,1.2520907126597662,-0.9090638984046006,0
